18:07:20.837 [ApplicationImpl pooled thread 55] INFO  com.browserstack.utils.Helpers - null
18:07:20.838 [ApplicationImpl pooled thread 55] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:09:02.057 [ApplicationImpl pooled thread 55] INFO  c.b.l.BrowserStackRunExtension - cucumber java
18:09:02.057 [ApplicationImpl pooled thread 55] INFO  com.browserstack.utils.Helpers - null
18:09:02.059 [ApplicationImpl pooled thread 55] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:10:38.101 [ApplicationImpl pooled thread 68] INFO  c.b.l.BrowserStackRunExtension - cucumber java
18:10:38.101 [ApplicationImpl pooled thread 68] INFO  com.browserstack.utils.Helpers - null
18:10:38.102 [ApplicationImpl pooled thread 68] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:11:38.898 [ApplicationImpl pooled thread 68] INFO  c.b.l.BrowserStackRunExtension - cucumber java
18:11:38.898 [ApplicationImpl pooled thread 68] INFO  com.browserstack.utils.Helpers - null
18:11:38.900 [ApplicationImpl pooled thread 68] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:12:45.727 [ApplicationImpl pooled thread 72] INFO  c.b.l.BrowserStackRunExtension - cucumber java
18:12:45.727 [ApplicationImpl pooled thread 72] INFO  com.browserstack.utils.Helpers - null
18:12:45.729 [ApplicationImpl pooled thread 72] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:13:07.432 [ApplicationImpl pooled thread 75] INFO  c.b.l.BrowserStackRunExtension - cucumber java
18:13:07.432 [ApplicationImpl pooled thread 75] INFO  com.browserstack.utils.Helpers - null
18:13:07.435 [ApplicationImpl pooled thread 75] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:13:57.666 [ApplicationImpl pooled thread 75] INFO  c.b.l.BrowserStackRunExtension - cucumber java
18:13:57.666 [ApplicationImpl pooled thread 75] INFO  com.browserstack.utils.Helpers - null
18:13:57.666 [ApplicationImpl pooled thread 75] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:24:41.479 [ApplicationImpl pooled thread 152] INFO  c.b.l.BrowserStackRunExtension - cucumber java
10:24:41.480 [ApplicationImpl pooled thread 152] INFO  com.browserstack.utils.Helpers - null
10:24:41.481 [ApplicationImpl pooled thread 152] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:29:53.111 [ApplicationImpl pooled thread 158] INFO  c.b.l.BrowserStackRunExtension - cucumber java
10:29:53.112 [ApplicationImpl pooled thread 158] INFO  com.browserstack.utils.Helpers - null
10:29:53.114 [ApplicationImpl pooled thread 158] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:30:13.110 [ApplicationImpl pooled thread 158] INFO  c.b.l.BrowserStackRunExtension - cucumber java
